Industry,Inflow_GBP,Outflow_GBP,Total_Flow_GBP,Betweenness,Eigenvector,Cluster
"Financial service activities, except insurance and pension funding",100.0,99.99999999999999,99.99999999999999,1.0,100.0,3
Public administration and defence; compulsory social security,64.88834256448291,89.18706433685625,78.40918096818307,1.0,41.7199620845428,2
"Retail trade, except of motor vehicles and motorcycles",63.930708538061,74.84536557845728,70.0040862020167,3.9107692307692306,58.615709003082785,2
"Wholesale trade, except of motor vehicles and motorcycles",89.83080153691462,53.04077568742812,69.35927225077668,1.0,77.92922250895518,2
"Office administrative, office support and other business support activities",65.17123408865315,61.44031362918768,63.095191854742495,1.0,46.063661089393406,2
Wholesale and retail trade and repair of motor vehicles and motorcycles,50.33699039478537,41.23990051595598,45.27498411528491,2.8953846153846152,61.44498620623233,2
Activities of head offices; management consultancy activities,46.33816024904923,30.925897740146162,37.76212432541428,1.0,33.27248747013883,2
"Computer programming, consultancy and related activities",50.2078020271183,23.52856015835774,35.36234137202848,3.7076923076923074,34.124000188580304,2
Specialised construction activities,40.15744445974184,20.71670694432116,29.339794343939875,1.0,23.7282237019433,0
Activities auxiliary to financial services and insurance activities,21.930018075350226,29.609075803052242,26.20297117969793,1.0,24.007720794108508,0
Construction of buildings,24.780341327174263,23.16774196292537,23.883022710245662,1.0,15.491151463012773,0
Real estate activities,25.084165483995932,21.741825617775262,23.224345957489188,1.0,17.172096027170536,0
Warehousing and support activities for transportation,15.451495393143965,29.11644947016187,23.05525486659121,1.0,10.812641667379786,0
Food and beverage service activities,26.05945978343829,17.173077121986175,21.114699927981853,1.0,25.21309213240804,0
Land transport and transport via pipelines,22.29652262108861,16.377200552966865,19.002761002996998,1.0,13.39387187957147,0
Manufacture of food products,25.834373625520577,12.823599545207001,18.59462762180361,1.0676923076923077,24.367611781045166,0
Other personal service activities,20.489407215786507,13.69128065609312,16.70664154100844,1.0,14.962451887980004,0
Rental and leasing activities,18.060146887591856,13.786170414585074,15.681925276838514,3.843076923076923,12.445547634893076,0
Education,17.953643906698343,13.393428374138853,15.416146754404394,1.0,15.809630753315034,0
"Insurance, reinsurance and pension funding, except compulsory social security",16.934176357628363,12.29552332553771,14.35303325696371,1.0,11.040439717616335,0
Human health activities,16.388780326112503,11.096999312625528,13.444209141611982,6.110769230769231,10.79668560949683,0
"Electricity, gas, steam and air conditioning supply",16.242635938452587,11.034017006874532,13.344339660152446,1.0,8.136828921561893,0
"Other professional, scientific and technical activities",14.12038613146037,8.576402726014123,11.035478849503686,1.0,8.217844240211813,0
Employment activities,13.504723968519102,8.07454030533908,10.483139685194953,4.046153846153846,8.326933205016068,0
Telecommunications,11.221279536811098,9.799816595776198,10.430317324780962,3.944615384615384,6.310687429427955,0
Civil engineering,13.322461308692647,7.912905043590779,10.312354983703765,1.0,6.337853684824654,0
Legal and accounting activities,11.677047152297959,6.146388774970632,8.599554480607956,3.4707692307692306,7.578355780664052,0
Other manufacturing,10.021501313268702,6.609229709356249,8.122768804693266,1.0,7.180653498218642,0
Architectural and engineering activities; technical testing and analysis,10.526648629946592,6.034479792370219,8.027015542083337,1.0,5.319754033849255,0
Advertising and market research,9.311200309175018,5.485439984538665,7.182385155634406,34.60923076923077,6.312294495662745,1
"Manufacture of fabricated metal products, except machinery and equipment",9.19591139119338,5.1949110037205655,6.969585241244721,1.0,6.160515701494,0
Manufacture of machinery and equipment nec,8.0919981087843,5.865111848436773,6.852864233692475,1.2030769230769232,4.5850634830543715,0
Accommodation,7.956508586042237,5.5335100054644775,6.608249506108468,5.163076923076923,5.9933222227979295,0
"Travel agency, tour operator and other reservation service and related activities",9.226831757908334,3.8984889309107564,6.261916031137068,1.406153846153846,6.500538472811588,0
Sports activities and amusement and recreation activities,7.254826068658103,5.29834496834915,6.166157082487517,1.0,4.768618787869744,0
"Motion picture, video and television programme production, sound recording and music publishing activities",6.431669651924958,5.294980720446393,5.799167765538893,2.083076923076923,3.432746287731586,0
Information service activities,5.625271092216722,5.660866682842325,5.645077987132496,1.0,4.253507943544976,0
Services to buildings and landscape activities,7.279425784480461,4.242095452693184,5.589326487099125,1.0,5.004140524193453,0
Residential care activities,7.115683350176835,3.761759066738596,5.249417763063815,46.45538461538461,5.505662061899856,1
Manufacture of chemicals and chemical products,6.959845268113378,3.8521916172105506,5.230615096166688,11.526153846153845,4.8954370549245425,0
Manufacture of beverages,6.519998524824561,4.096051797105112,5.171211855645324,10.07076923076923,5.900890269950374,0
"Crop and animal production, hunting and related service activities",6.352877972756096,4.157119400227658,5.13106486214009,2.9292307692307693,4.797429767126517,0
"Waste collection, treatment and disposal activities; materials recovery",5.489835249739562,3.734382693688983,4.513027063775302,21.341538461538462,3.554750904872242,0
Repair and installation of machinery and equipment,5.95006153200514,3.3158660394300243,4.484283541190907,1.0,3.847328683515802,0
"Creative, arts and entertainment activities",5.440207978371603,3.5200392493330765,4.371744734239713,26.316923076923075,3.3522616303262684,1
Manufacture of rubber and plastic products,5.477153620989198,3.4099879157359845,4.326895030589708,1.0,4.234487745748851,0
"Water collection, treatment and supply",3.164988378097209,5.175239850476839,4.283577477699483,17.75384615384615,2.292541171707829,0
"Manufacture of motor vehicles, trailers and semi-trailers",4.352083637559268,4.1398951662647185,4.234012981070511,1.6092307692307692,3.7374539151686794,0
Publishing activities,5.10364206475227,3.460398199725457,4.1892715490916395,1.0,3.5809994601089135,0
Manufacture of electrical equipment,4.681466811255657,2.5806764321835067,3.512498027565264,4.08,3.906024228901634,0
"Manufacture of computer, electronic and optical products",4.655467402555955,2.463034837577434,3.4355050234736155,2.7261538461538457,3.227427881643132,0
Activities of membership organisations,3.5462809020848334,3.0405822981748116,3.2648887709062255,35.286153846153844,2.9511787379707934,1
Scientific research and development,3.5860384825588585,2.9993331658653606,3.259570783890704,1.0,2.703296704826423,0
Manufacture of other non-metallic mineral products,3.6124224662906874,2.863105927099668,3.1954709931008263,3.0307692307692307,2.7572717370557,0
Social work activities without accommodation,4.346649912834515,2.171823555011038,3.1364843734409233,4.452307692307691,3.451080551032356,0
Manufacture of paper and paper products,3.7579360440715215,2.4233446742860107,3.0153128552929696,1.1015384615384616,3.489649507469108,0
Manufacture of other transport equipment,2.413141519630111,3.435054468514452,2.9817771858989173,7.769230769230769,1.984971620764199,0
Security and investigation activities,3.8327666004094816,2.2476793300354423,2.9507568782825944,1.0,2.8185042488022303,0
Manufacture of coke and refined petroleum products,4.353758141344985,1.676555085771799,2.864048920119488,1.0338461538461539,5.408072074358297,0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.411656406099062,2.3606559392404436,2.8268352123041915,9.698461538461538,2.6882117575698667,0
Air transport,2.821332396455034,2.732429495131198,2.7718630550764947,2.6923076923076925,2.1121300278901862,0
Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.285514193165629,2.2474662304878463,2.7079003215333355,4.215384615384615,3.1490631776648375,0
Postal and courier activities,3.557085858091619,1.8539750418817948,2.609402834050897,1.3046153846153845,2.9071709246079065,0
Manufacture of basic metals,3.123247832613782,2.133857773673189,2.5727092804018437,1.0,2.2930837038285428,0
Manufacture of furniture,3.055991267880756,2.1535910898219095,2.553857571412978,1.6092307692307692,2.6051579493773946,0
Printing and reproduction of recorded media,2.8858480628861756,2.0474951903849923,2.4193530011066695,10.646153846153846,2.2112520289954665,0
Veterinary activities,2.1684780889832167,2.0267061692846946,2.089590185562491,28.889230769230767,1.5079672529868338,1
Water transport,2.582572726683269,1.6534509222338316,2.065569985016496,6.618461538461538,2.0258296506790927,0
Gambling and betting activities,2.30859399594856,1.7980018165554266,2.0244788720157123,15.18153846153846,2.100839656010561,0
Extraction of crude petroleum and natural gas,1.2626377732768974,2.5834203283562998,1.997577152432171,2.32,1.0930261913026442,0
Other mining and quarrying,2.0907589468483962,1.8861686142950485,1.9769162167111187,4.418461538461538,1.5287740941425807,0
Mining support service activities,2.058492567521,1.5821937119722869,1.7934597020859369,3.9107692307692306,1.4179367726232177,0
Manufacture of wearing apparel,2.0778398964288938,1.490928987542737,1.7512577975531876,32.07076923076923,1.7570724199217698,1
Manufacture of textiles,1.9912143704424174,1.5290216493305029,1.7340307559271153,11.289230769230768,1.7872800607032278,0
Undifferentiated goods- and services-producing activities of private households for own use,1.9585973334642008,1.497456305453669,1.7019989255538919,18.396923076923077,1.7005512558927434,0
Remediation activities and other waste management services,1.8489603331248492,1.5531233997616125,1.6843441279054319,36.67384615384615,1.4689186467104198,1
Repair of computers and personal and household goods,1.5799284658068609,1.5617440322095195,1.5698098764244346,13.387692307692307,1.489899715585828,0
Sewerage,1.2874022688178828,1.786082079523008,1.5648888460500152,1.7107692307692308,1.1218578857346446,0
Programming and broadcasting activities,1.69131127655247,1.422776942117592,1.5418873942696067,23.236923076923077,1.3330959303158565,0
Forestry and logging,1.5114391244430743,1.365142349289286,1.4300333997153731,18.092307692307692,1.221068284631826,0
Manufacture of tobacco products,1.7879191952825721,1.0163396898867538,1.358579664347864,1.0,2.149940026987889,0
"Libraries, archives, museums and other cultural activities",1.4076201567946072,1.3125953218840076,1.3547443121637475,18.599999999999998,1.2799348344101324,0
Fishing and aquaculture,1.3211831794002706,1.168197918844947,1.2360556979840145,55.22153846153846,1.2355274777899077,1
Manufacture of leather and related products,1.2669255178191126,1.112535082270222,1.1810161374949666,21.27384615384615,1.206426171789548,0
Activities of extraterritorial organisations and bodies,1.0314042902970457,1.0306124631824884,1.0309636841384218,60.129230769230766,1.0280888457553556,1
Activities of households as employers of domestic personnel,1.0126276814194677,1.009011066584062,1.0106152436782554,100.0,1.007938244588217,1
Mining of metal ores,1.0,1.0009707631738642,1.0005401737640787,1.0,1.0,0
Mining of coal and lignite,1.0,1.0,1.0,1.0,1.0,0
